obstime,tempr,ap,ws,wd,rh
11/01/2015 00:00:00,-12.52,973.92,29.3,86.38,43.13
11/01/2015 01:00:00,-11.88,973.54,26,87.63,44.22
11/01/2015 02:00:00,-10.6,973.14,24.8,86.27,43.35
11/01/2015 03:00:00,-9.46,972.51,23.96,87.77,43.95
11/01/2015 04:00:00,-7.8,971.8,20.9,72.77,44.03
11/01/2015 05:00:00,-6.54,971.17,18.17,69.57,44.83
11/01/2015 06:00:00,-5.62,970.42,17.12,71.05,45.67
11/01/2015 07:00:00,-5.2,969.77,15.6,56.22,51.18
11/01/2015 08:00:00,-4.89,969.32,11.25,51.18,51.62
11/01/2015 10:00:00,-5.03,968.05,7.37,246.02,51.47
11/01/2015 11:00:00,-5.91,967.29,10.66,208.03,58.22
11/01/2015 12:00:00,-5.21,966.52,6.32,155.74,53.4
11/01/2015 13:00:00,-4.74,965.95,2.29,90.17,49.42
11/01/2015 14:00:00,-5.1,965.18,3.21,166.17,48.58
11/01/2015 15:00:00,-5.11,964.4,5.43,86.6,50.7
11/01/2015 16:00:00,-4.04,963.79,10.57,74.97,48.82
11/01/2015 17:00:00,-3.74,963.4,13.39,59.57,48.52
11/01/2015 18:00:00,-3.91,962.8,17.5,80.52,48.32
11/01/2015 19:00:00,-4.13,962.24,21.59,88.13,47.17
11/01/2015 20:00:00,-4.3,961.7,23.48,87.73,47.15
11/01/2015 21:00:00,-4.61,961.11,25.28,86.9,47
11/01/2015 22:00:00,-4.73,960.4,27.77,82.87,50.38
11/01/2015 23:00:00,-4.71,959.83,27.2,82.92,50.3
11/02/2015 00:00:00,-4.53,958.99,27.68,83.62,45.88
11/02/2015 01:00:00,-4.35,957.88,28.46,85.78,46.98
11/02/2015 02:00:00,-3.54,957.46,25.74,80.07,51.78
11/02/2015 03:00:00,-3.52,957.72,25.09,63.75,65.5
11/02/2015 04:00:00,-4.08,958.71,21.52,60.42,79.57
11/02/2015 05:00:00,-4.62,959.61,21.55,55.5,89.12
11/02/2015 06:00:00,-4.7,960.61,23.82,49.92,85.73
11/02/2015 07:00:00,-4.74,961.56,17.86,57.67,88.35
11/02/2015 08:00:00,-4.39,962.14,16.05,62.78,89.9
11/02/2015 09:00:00,-3.96,962.86,15.14,56.27,91.53
11/02/2015 10:00:00,-3.79,963.55,12.93,65.73,92.62
11/02/2015 11:00:00,-3.51,964.36,13.23,64.82,92.13
11/02/2015 12:00:00,-3.44,965.13,11.11,70.02,92.37
11/02/2015 13:00:00,-3.36,965.74,12.45,69.63,88.1
11/02/2015 14:00:00,-3.45,966.65,12.48,54.13,87.25
11/02/2015 15:00:00,-3.65,967.52,10.07,69.65,90.22
11/02/2015 16:00:00,-3.74,968.24,13.26,64.42,74.58
11/02/2015 17:00:00,-3.84,969.21,14.9,55.33,66.2
11/02/2015 18:00:00,-4.19,969.95,18.47,69.13,76.7
11/02/2015 19:00:00,-4.1,970.73,18.53,68.55,76.17
11/02/2015 20:00:00,-3.9,971.51,17.46,64.13,71.72
11/02/2015 21:00:00,-3.87,971.95,19.79,64.23,68.7
11/02/2015 22:00:00,-4.2,972.65,21.94,58.23,65.72
11/02/2015 23:00:00,-4.15,973.77,20.54,59.38,66.98
